model,rank_1.0_to_1,rank_1.5_to_1,rank_2.0_to_1,rank_3.0_to_1,loss_1.0_to_1,loss_1.5_to_1,loss_2.0_to_1,loss_3.0_to_1
MS-VAR,1,1,1,1,218.28169305684952,313.9435502116356,409.60540736642156,600.9291216759937
DMA,2,2,2,2,222.50003543669786,321.73868493648695,420.97733443627607,619.4546334358541
MS-VECM,3,3,3,3,226.0533937185298,326.78561954294054,427.5178453673512,628.9822970161725
DMS,4,4,4,4,228.04450298707306,330.14434611801653,432.24418924895986,636.4438755108469
XGBoost,5,5,5,5,690.4889368127893,996.7742173936632,1303.059497974537,1915.6300591362847
ARIMA,6,6,6,6,1105.2029582356054,1632.1461510262063,2159.0893438168073,3212.9757293980097
Naive,7,7,7,7,1180.5794522485394,1766.4127855818724,2352.246118915206,3523.9127855818724
BVAR,8,8,8,8,1190.9719001096005,1778.5924566894516,2366.2130132693032,3541.4541264290056
VECM,9,9,9,9,1393.163120527872,2080.0927520623404,2767.0223835968095,4140.881646665746
