date,gross_reserves_usd_m,source
2005-01-01,2249.0,Interpolated from World Bank annual
2005-02-01,2293.0,Interpolated from World Bank annual
2005-03-01,2337.0,Interpolated from World Bank annual
2005-04-01,2382.0,Interpolated from World Bank annual
2005-05-01,2426.0,Interpolated from World Bank annual
2005-06-01,2470.0,Interpolated from World Bank annual
2005-07-01,2514.0,Interpolated from World Bank annual
2005-08-01,2558.0,Interpolated from World Bank annual
2005-09-01,2602.0,Interpolated from World Bank annual
2005-10-01,2647.0,Interpolated from World Bank annual
2005-11-01,2691.0,Interpolated from World Bank annual
2005-12-01,2735.0,Interpolated from World Bank annual
2006-01-01,2743.0,Interpolated from World Bank annual
2006-02-01,2751.0,Interpolated from World Bank annual
2006-03-01,2759.0,Interpolated from World Bank annual
2006-04-01,2767.0,Interpolated from World Bank annual
2006-05-01,2775.0,Interpolated from World Bank annual
2006-06-01,2784.0,Interpolated from World Bank annual
2006-07-01,2792.0,Interpolated from World Bank annual
2006-08-01,2800.0,Interpolated from World Bank annual
2006-09-01,2808.0,Interpolated from World Bank annual
2006-10-01,2816.0,Interpolated from World Bank annual
2006-11-01,2824.0,Interpolated from World Bank annual
2006-12-01,2832.0,Interpolated from World Bank annual
2007-01-01,2889.0,Interpolated from World Bank annual
2007-02-01,2946.0,Interpolated from World Bank annual
2007-03-01,3004.0,Interpolated from World Bank annual
2007-04-01,3061.0,Interpolated from World Bank annual
2007-05-01,3118.0,Interpolated from World Bank annual
2007-06-01,3175.0,Interpolated from World Bank annual
2007-07-01,3232.0,Interpolated from World Bank annual
2007-08-01,3290.0,Interpolated from World Bank annual
2007-09-01,3347.0,Interpolated from World Bank annual
2007-10-01,3404.0,Interpolated from World Bank annual
2007-11-01,3461.0,Interpolated from World Bank annual
2007-12-01,3518.0,Interpolated from World Bank annual
2008-01-01,3443.0,Interpolated from World Bank annual
2008-02-01,3368.0,Interpolated from World Bank annual
2008-03-01,3293.0,Interpolated from World Bank annual
2008-04-01,3218.0,Interpolated from World Bank annual
2008-05-01,3143.0,Interpolated from World Bank annual
2008-06-01,3067.0,Interpolated from World Bank annual
2008-07-01,2992.0,Interpolated from World Bank annual
2008-08-01,2917.0,Interpolated from World Bank annual
2008-09-01,2842.0,Interpolated from World Bank annual
2008-10-01,2767.0,Interpolated from World Bank annual
2008-11-01,2692.0,Interpolated from World Bank annual
2008-12-01,2617.0,Interpolated from World Bank annual
2009-01-01,2845.0,Interpolated from World Bank annual
2009-02-01,3073.0,Interpolated from World Bank annual
2009-03-01,3301.0,Interpolated from World Bank annual
2009-04-01,3529.0,Interpolated from World Bank annual
2009-05-01,3757.0,Interpolated from World Bank annual
2009-06-01,3985.0,Interpolated from World Bank annual
2009-07-01,4213.0,Interpolated from World Bank annual
2009-08-01,4441.0,Interpolated from World Bank annual
2009-09-01,4669.0,Interpolated from World Bank annual
2009-10-01,4897.0,Interpolated from World Bank annual
2009-11-01,5126.0,Interpolated from World Bank annual
2009-12-01,5354.0,Interpolated from World Bank annual
2010-01-01,5507.0,Interpolated from World Bank annual
2010-02-01,5661.0,Interpolated from World Bank annual
2010-03-01,5814.0,Interpolated from World Bank annual
2010-04-01,5968.0,Interpolated from World Bank annual
2010-05-01,6121.0,Interpolated from World Bank annual
2010-06-01,6274.0,Interpolated from World Bank annual
2010-07-01,6428.0,Interpolated from World Bank annual
2010-08-01,6581.0,Interpolated from World Bank annual
2010-09-01,6735.0,Interpolated from World Bank annual
2010-10-01,6888.0,Interpolated from World Bank annual
2010-11-01,7042.0,Interpolated from World Bank annual
2010-12-01,7195.0,Interpolated from World Bank annual
2011-01-01,7157.0,Interpolated from World Bank annual
2011-02-01,7119.0,Interpolated from World Bank annual
2011-03-01,7081.0,Interpolated from World Bank annual
2011-04-01,7043.0,Interpolated from World Bank annual
2011-05-01,7005.0,Interpolated from World Bank annual
2011-06-01,6967.0,Interpolated from World Bank annual
2011-07-01,6929.0,Interpolated from World Bank annual
2011-08-01,6891.0,Interpolated from World Bank annual
2011-09-01,6853.0,Interpolated from World Bank annual
2011-10-01,6815.0,Interpolated from World Bank annual
2011-11-01,6777.0,Interpolated from World Bank annual
2011-12-01,6739.0,Interpolated from World Bank annual
2012-01-01,6770.0,Interpolated from World Bank annual
2012-02-01,6800.0,Interpolated from World Bank annual
2012-03-01,6831.0,Interpolated from World Bank annual
2012-04-01,6862.0,Interpolated from World Bank annual
2012-05-01,6892.0,Interpolated from World Bank annual
2012-06-01,6923.0,Interpolated from World Bank annual
2012-07-01,6953.0,Interpolated from World Bank annual
2012-08-01,6984.0,Interpolated from World Bank annual
2012-09-01,7015.0,Interpolated from World Bank annual
2012-10-01,7045.0,Interpolated from World Bank annual
2012-11-01,7076.0,Interpolated from World Bank annual
2012-12-01,7106.0,Interpolated from World Bank annual
2013-01-01,7139.0,Interpolated from World Bank annual
2013-02-01,7172.0,Interpolated from World Bank annual
2013-03-01,7205.0,Interpolated from World Bank annual
2013-04-01,7238.0,Interpolated from World Bank annual
2013-05-01,7270.0,Interpolated from World Bank annual
2013-06-01,7303.0,Interpolated from World Bank annual
2013-07-01,7336.0,Interpolated from World Bank annual
2013-08-01,7369.0,Interpolated from World Bank annual
2013-09-01,7402.0,Interpolated from World Bank annual
2013-10-01,7434.0,Interpolated from World Bank annual
2013-11-01,7467.0,Interpolated from World Bank annual
2013-12-01,7500.0,Interpolated from World Bank annual
2014-01-01,7559.0,Interpolated from World Bank annual
2014-02-01,7618.0,Interpolated from World Bank annual
2014-03-01,7678.0,Interpolated from World Bank annual
2014-04-01,7737.0,Interpolated from World Bank annual
2014-05-01,7796.0,Interpolated from World Bank annual
2014-06-01,7855.0,Interpolated from World Bank annual
2014-07-01,7915.0,Interpolated from World Bank annual
2014-08-01,7974.0,Interpolated from World Bank annual
2014-09-01,8033.0,Interpolated from World Bank annual
2014-10-01,8092.0,Interpolated from World Bank annual
2014-11-01,8152.0,Interpolated from World Bank annual
2014-12-01,8211.0,Interpolated from World Bank annual
2015-01-01,8135.0,Interpolated from World Bank annual
2015-02-01,8059.0,Interpolated from World Bank annual
2015-03-01,7984.0,Interpolated from World Bank annual
2015-04-01,7908.0,Interpolated from World Bank annual
2015-05-01,7832.0,Interpolated from World Bank annual
2015-06-01,7756.0,Interpolated from World Bank annual
2015-07-01,7681.0,Interpolated from World Bank annual
2015-08-01,7605.0,Interpolated from World Bank annual
2015-09-01,7529.0,Interpolated from World Bank annual
2015-10-01,7454.0,Interpolated from World Bank annual
2015-11-01,7378.0,Interpolated from World Bank annual
2015-12-01,7302.0,Interpolated from World Bank annual
2016-01-01,7194.0,Interpolated from World Bank annual
2016-02-01,7086.0,Interpolated from World Bank annual
2016-03-01,6979.0,Interpolated from World Bank annual
2016-04-01,6871.0,Interpolated from World Bank annual
2016-05-01,6763.0,Interpolated from World Bank annual
2016-06-01,6655.0,Interpolated from World Bank annual
2016-07-01,6547.0,Interpolated from World Bank annual
2016-08-01,6439.0,Interpolated from World Bank annual
2016-09-01,6332.0,Interpolated from World Bank annual
2016-10-01,6224.0,Interpolated from World Bank annual
2016-11-01,6116.0,Interpolated from World Bank annual
2016-12-01,6008.0,Interpolated from World Bank annual
2017-01-01,6171.0,Interpolated from World Bank annual
2017-02-01,6333.0,Interpolated from World Bank annual
2017-03-01,6496.0,Interpolated from World Bank annual
2017-04-01,6658.0,Interpolated from World Bank annual
2017-05-01,6821.0,Interpolated from World Bank annual
2017-06-01,6984.0,Interpolated from World Bank annual
2017-07-01,7146.0,Interpolated from World Bank annual
2017-08-01,7309.0,Interpolated from World Bank annual
2017-09-01,7471.0,Interpolated from World Bank annual
2017-10-01,7634.0,Interpolated from World Bank annual
2017-11-01,7796.0,Interpolated from World Bank annual
2017-12-01,7959.0,Interpolated from World Bank annual
2018-01-01,7873.0,Interpolated from World Bank annual
2018-02-01,7786.0,Interpolated from World Bank annual
2018-03-01,7699.0,Interpolated from World Bank annual
2018-04-01,7613.0,Interpolated from World Bank annual
2018-05-01,7526.0,Interpolated from World Bank annual
2018-06-01,7440.0,Interpolated from World Bank annual
2018-07-01,7353.0,Interpolated from World Bank annual
2018-08-01,7267.0,Interpolated from World Bank annual
2018-09-01,7180.0,Interpolated from World Bank annual
2018-10-01,7094.0,Interpolated from World Bank annual
2018-11-01,7007.0,Interpolated from World Bank annual
2018-12-01,6921.0,Interpolated from World Bank annual
2019-01-01,6981.0,Interpolated from World Bank annual
2019-02-01,7042.0,Interpolated from World Bank annual
2019-03-01,7103.0,Interpolated from World Bank annual
2019-04-01,7163.0,Interpolated from World Bank annual
2019-05-01,7224.0,Interpolated from World Bank annual
2019-06-01,7285.0,Interpolated from World Bank annual
2019-07-01,7345.0,Interpolated from World Bank annual
2019-08-01,7406.0,Interpolated from World Bank annual
2019-09-01,7466.0,Interpolated from World Bank annual
2019-10-01,7527.0,Interpolated from World Bank annual
2019-11-01,7588.0,Interpolated from World Bank annual
2019-12-01,7648.0,Interpolated from World Bank annual
2020-01-01,7483.0,Interpolated from World Bank annual
2020-02-01,7318.0,Interpolated from World Bank annual
2020-03-01,7152.0,Interpolated from World Bank annual
2020-04-01,6987.0,Interpolated from World Bank annual
2020-05-01,6822.0,Interpolated from World Bank annual
2020-06-01,6656.0,Interpolated from World Bank annual
2020-07-01,6491.0,Interpolated from World Bank annual
2020-08-01,6325.0,Interpolated from World Bank annual
2020-09-01,6160.0,Interpolated from World Bank annual
2020-10-01,5995.0,Interpolated from World Bank annual
2020-11-01,5829.0,Interpolated from World Bank annual
2020-12-01,5664.0,Interpolated from World Bank annual
2021-01-01,5453.0,Interpolated from World Bank annual
2021-02-01,5243.0,Interpolated from World Bank annual
2021-03-01,5032.0,Interpolated from World Bank annual
2021-04-01,4822.0,Interpolated from World Bank annual
2021-05-01,4611.0,Interpolated from World Bank annual
2021-06-01,4400.0,Interpolated from World Bank annual
2021-07-01,4190.0,Interpolated from World Bank annual
2021-08-01,3979.0,Interpolated from World Bank annual
2021-09-01,3769.0,Interpolated from World Bank annual
2021-10-01,3558.0,Interpolated from World Bank annual
2021-11-01,3348.0,Interpolated from World Bank annual
2021-12-01,3137.0,Interpolated from World Bank annual
2022-01-01,3034.0,Interpolated from World Bank annual
2022-02-01,2930.0,Interpolated from World Bank annual
2022-03-01,2827.0,Interpolated from World Bank annual
2022-04-01,2723.0,Interpolated from World Bank annual
2022-05-01,2620.0,Interpolated from World Bank annual
2022-06-01,2517.0,Interpolated from World Bank annual
2022-07-01,2413.0,Interpolated from World Bank annual
2022-08-01,2310.0,Interpolated from World Bank annual
2022-09-01,2206.0,Interpolated from World Bank annual
2022-10-01,2103.0,Interpolated from World Bank annual
2022-11-01,2000.0,Interpolated from World Bank annual
2022-12-01,1896.0,Interpolated from World Bank annual
2023-01-01,2105.0,Interpolated from World Bank annual
2023-02-01,2314.0,Interpolated from World Bank annual
2023-03-01,2523.0,Interpolated from World Bank annual
2023-04-01,2733.0,Interpolated from World Bank annual
2023-05-01,2942.0,Interpolated from World Bank annual
2023-06-01,3151.0,Interpolated from World Bank annual
2023-07-01,3360.0,Interpolated from World Bank annual
2023-08-01,3569.0,Interpolated from World Bank annual
2023-09-01,3778.0,Interpolated from World Bank annual
2023-10-01,3987.0,Interpolated from World Bank annual
2023-11-01,4196.0,Interpolated from World Bank annual
2023-12-01,4405.0,Interpolated from World Bank annual
2024-01-01,4546.0,Interpolated from World Bank annual
2024-02-01,4687.0,Interpolated from World Bank annual
2024-03-01,4827.0,Interpolated from World Bank annual
2024-04-01,4968.0,Interpolated from World Bank annual
2024-05-01,5109.0,Interpolated from World Bank annual
2024-06-01,5250.0,Interpolated from World Bank annual
2024-07-01,5390.0,Interpolated from World Bank annual
2024-08-01,5531.0,Interpolated from World Bank annual
2024-09-01,5672.0,Interpolated from World Bank annual
2024-10-01,5812.0,Interpolated from World Bank annual
2024-11-01,5953.0,Interpolated from World Bank annual
2024-12-01,6094.0,Interpolated from World Bank annual
