model,split,mae,rmse,mape,smape,mase
ARIMA,validation,736.6576726791077,1055.8964987339639,22.268701202146094,17.314872715757854,2.168223091055777
ARIMA,test,916.2713598404093,1177.2865081288955,20.4540637682432,24.620948172083736,2.6968845825684653
VECM,validation,1554.6645955751806,1811.3271279803455,60.7624773111918,41.081217141431324,4.575883480197406
VECM,test,2258.8769837443947,2955.8090848997817,63.062288934454315,42.93058350943169,6.648609547765491
MS-VAR,validation,645.6666433550951,893.5933346725369,22.778527444845636,24.040416819349517,1.900406901560663
MS-VAR,test,280.93074652345615,329.5957835049749,5.91796214251716,5.81060744066016,0.8268705454250138
MS-VECM,validation,560.3533042055109,848.9282796804225,20.896840079567962,21.723426021128336,1.6493020006282337
MS-VECM,test,254.5821603858526,349.2987501222577,5.642272967410021,5.950302040084188,0.7493180878873725
Naive,validation,411.1903263685908,545.5628274628995,11.984801642073496,11.596890111661173,1.2102668491983588
Naive,test,212.13888888888889,311.9090412283684,4.6520869242508285,4.90082690442899,0.6243937373610549
