period,model,rmse,n_obs
Pre-crisis (2023-01 to 2023-06),Naive (RW),382.2381456631455,6
Pre-crisis (2023-01 to 2023-06),BVAR_parsimonious,642.4857710475499,6
Pre-crisis (2023-01 to 2023-06),BVAR_bop,667.4196203113761,6
Pre-crisis (2023-01 to 2023-06),EqualWeight,4108.617751356316,6
Pre-crisis (2023-01 to 2023-06),MSE-Weight,1972.0917289373367,6
Pre-crisis (2023-01 to 2023-06),GR-Convex,4108.617751356316,6
Pre-crisis (2023-01 to 2023-06),TrimmedMean,5085.70502811759,6
Pre-crisis (2023-01 to 2023-06),Median,5096.546619888724,6
Crisis (2023-07 to 2024-06),Naive (RW),321.03504481598264,12
Crisis (2023-07 to 2024-06),BVAR_parsimonious,511.6092943922865,12
Crisis (2023-07 to 2024-06),BVAR_bop,508.23471090103203,12
Crisis (2023-07 to 2024-06),BVAR_monetary,1383.7528807134781,5
Crisis (2023-07 to 2024-06),BVAR_pca,1056.5425782707232,5
Crisis (2023-07 to 2024-06),BVAR_full,1297.7855848667434,5
Crisis (2023-07 to 2024-06),EqualWeight,2782.235416234986,12
Crisis (2023-07 to 2024-06),MSE-Weight,874.6496065871044,12
Crisis (2023-07 to 2024-06),GR-Convex,2782.2354162349866,12
Crisis (2023-07 to 2024-06),TrimmedMean,3701.40745159689,12
Crisis (2023-07 to 2024-06),Median,3736.5718188655615,12
Crisis (2023-07 to 2024-06),DMA,1304.0610190788545,5
Crisis (2023-07 to 2024-06),DMS,1326.4599986360647,5
Recovery (2024-07+),Naive (RW),277.7831888361857,18
Recovery (2024-07+),BVAR_parsimonious,362.07821087702456,10
Recovery (2024-07+),BVAR_bop,345.94566454249036,10
Recovery (2024-07+),BVAR_monetary,372.4331900486594,9
Recovery (2024-07+),BVAR_pca,411.08234928828995,6
Recovery (2024-07+),BVAR_full,362.28210442190016,9
Recovery (2024-07+),EqualWeight,1203.742242107391,18
Recovery (2024-07+),MSE-Weight,856.6266815088514,18
Recovery (2024-07+),GR-Convex,2542.4668869820002,18
Recovery (2024-07+),TrimmedMean,2031.6201620047384,18
Recovery (2024-07+),Median,2040.9505817385723,18
Recovery (2024-07+),DMA,267.00973264581916,9
Recovery (2024-07+),DMS,248.2037286365596,11
